Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
4,129,TAM,Jaelon Darden,WR,22,2023,0,0,0,0,0,24,0,0,0,0,0,2,13,0,8,69,0,,,,North Texas,College Stats,DardJa00
4,130,LAR,Robert Rochell,DB,23,2023,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,20,1,,Central Arkansas,,RochRo00
4,131,BAL,Tylan Wallace,WR,22,2023,0,0,0,1,1,37,0,0,0,0,0,0,0,0,7,67,0,7,,,Oklahoma St.,College Stats,WallTy00
4,132,CLE,Tommy Togiai,DT,21,2022,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,12,,1.0,Ohio St.,College Stats,TogiTo00
4,133,NOR,Ian Book,QB,23,2021,0,0,0,0,0,1,12,20,135,0,2,3,6,0,0,0,0,,,,Notre Dame,College Stats,BookIa00
4,134,MIN,Janarius Robinson,DE,22,2023,0,0,0,1,,6,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,Florida St.,College Stats,RobiJa04
4,135,TEN,Rashad Weaver,DL,23,2023,0,0,0,5,5,33,0,0,0,0,0,0,0,0,0,0,0,29,,5.5,Pittsburgh,College Stats,WeavRa00
4,136,ARI,Marco Wilson,CB,22,2023,0,0,2,12,12,44,0,0,0,0,0,0,0,0,0,0,0,125,3,,Florida,College Stats,WilsMa04
4,137,SEA,Tre Brown,CB,23,2023,0,0,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,42,2,1.0,Oklahoma,College Stats,BrowTr03
4,138,DAL,Josh Ball,OL,23,2022,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,Marshall,College Stats,BallJo00
4,139,CIN,D'Ante Smith,T,23,2022,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,East Carolina,College Stats,SmitDA03
4,140,PIT,Buddy Johnson,LB,22,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,,,Texas A&M,College Stats,JohnBu01
4,141,LAR,Jacob Harris,WR,24,2023,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,6,0,2,,,Central Florida,College Stats,HarrJa03
4,142,GNB,Royce Newman,G,24,2023,0,0,1,14,14,51,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi,College Stats,NewmRo00
4,143,LVR,Tyree Gillespie,S,23,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,1,,,Missouri,College Stats,GillTy00
4,144,KAN,Joshua Kaindoh,DE,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats,KainJo00
5,145,JAX,Luke Farrell,TE,23,2023,0,0,0,1,1,49,0,0,0,0,0,0,0,0,24,251,0,2,,,Ohio St.,College Stats,FarrLu00
5,146,NYJ,Jamien Sherwood,DB,21,2023,0,0,0,4,4,39,0,0,0,0,0,0,0,0,0,0,0,48,,0.5,Auburn,College Stats,SherJa00
5,147,HOU,Brevin Jordan,TE,21,2023,0,0,0,4,4,34,0,0,0,0,0,0,0,0,51,525,5,1,,,Miami (FL),College Stats,JordBr00
5,148,ATL,Ta'Quon Graham,DL,22,2023,0,0,1,8,8,39,0,0,0,0,0,0,0,0,0,0,0,29,,1.0,Texas,College Stats,GrahTa00
5,149,CIN,Evan McPherson,K,22,2023,0,0,1,11,11,49,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida,College Stats,McPhEv00
5,150,PHI,Kenneth Gainwell,RB,22,2023,0,0,0,13,13,49,1,1,17,0,0,205,895,11,86,605,1,1,,,Memphis,College Stats,GainKe00
5,151,CHI,Larry Borom,OL,22,2023,0,0,1,12,12,39,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats,BoroLa00
5,152,DEN,Caden Sterns,DB,21,2023,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,36,4,2.0,Texas,College Stats,SterCa00
5,153,CLE,Tony Fields,LB,22,2023,0,0,0,9,9,44,0,0,0,0,0,0,0,0,0,0,0,47,1,,West Virginia,College Stats,FielTo00
5,154,NYJ,Michael Carter,S,22,2023,0,0,0,8,8,47,0,0,0,0,0,0,0,0,0,0,0,132,2,1.0,Duke,College Stats,CartMi02
5,155,SFO,Jaylon Moore,T,23,2023,0,0,0,6,6,40,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,College Stats,MoorJa04
5,156,PIT,Isaiahh Loudermilk,DE,23,2023,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,28,,1.0,Wisconsin,College Stats,LoudIs00
5,157,MIN,Ihmir Smith-Marsette,WR,22,2023,0,0,0,3,1,33,0,0,0,0,0,9,73,1,14,182,2,1,,,Iowa,College Stats,SmitIh00
5,158,CAR,Daviyon Nixon,DT,22,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,4,,0.5,Iowa,College Stats,NixoDa00
5,159,LAC,Brenden Jaimes,OL,22,2023,0,0,0,4,4,37,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats,JaimBr00
5,160,BAL,Shaun Wade,CB,22,2023,0,0,0,3,,20,0,0,0,0,0,0,0,0,0,0,0,23,,,Ohio St.,College Stats,WadeSh00
5,161,BUF,Tommy Doyle,OL,23,2022,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH),College Stats,DoylTo00
5,162,KAN,Noah Gray,TE,22,2023,0,0,0,6,6,50,0,0,0,0,0,2,2,1,63,640,4,3,,,Duke,College Stats,GrayNo00
